S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;poker_hand
Spades;Queen;Spades;King;Diamonds;Eight;Spades;Ace;Clubs;Jack;One pair
Hearts;King;Spades;Queen;Clubs;Four;Hearts;Jack;Diamonds;Ace;One pair
Hearts;Queen;Clubs;Two;Hearts;Four;Hearts;King;Spades;Ten;One pair
Clubs;Jack;Clubs;Two;Hearts;Nine;Clubs;Eight;Diamonds;King;One pair
Clubs;King;Hearts;Two;Hearts;Five;Diamonds;Four;Diamonds;Seven;One pair
Hearts;Eight;Hearts;Jack;Diamonds;King;Diamonds;Jack;Clubs;Three;Two pairs
Spades;Queen;Spades;Six;Spades;Jack;Diamonds;Six;Hearts;Three;Two pairs
Hearts;Six;Hearts;Eight;Diamonds;Five;Clubs;Ten;Diamonds;Ten;Two pairs
Hearts;Jack;Hearts;Ace;Diamonds;Four;Clubs;Jack;Diamonds;Seven;Two pairs
Clubs;Two;Clubs;Eight;Hearts;Six;Hearts;Nine;Spades;Three;One pair
Clubs;Six;Diamonds;Ace;Hearts;Five;Diamonds;Nine;Spades;Nine;Two pairs
Hearts;Nine;Hearts;Ace;Diamonds;Eight;Hearts;Four;Clubs;Queen;One pair
Clubs;Seven;Hearts;Ace;Hearts;Jack;Hearts;Four;Diamonds;Ace;Two pairs
Clubs;Jack;Diamonds;Two;Hearts;Jack;Hearts;Four;Clubs;Two;Three of a kind
Hearts;Ten;Diamonds;Six;Diamonds;Ace;Hearts;Four;Clubs;Ten;Two pairs
Clubs;Queen;Diamonds;Five;Hearts;Jack;Hearts;Three;Spades;Six;One pair
Hearts;Five;Hearts;Queen;Clubs;Four;Clubs;Two;Clubs;Seven;One pair
Diamonds;Six;Hearts;Two;Diamonds;Ten;Clubs;Three;Diamonds;Two;Two pairs
Clubs;Ten;Spades;Eight;Hearts;Two;Diamonds;Nine;Diamonds;Two;Two pairs
Hearts;Six;Clubs;Four;Hearts;Ace;Hearts;Four;Clubs;Queen;Two pairs
Clubs;Jack;Diamonds;Eight;Spades;Ace;Clubs;Three;Diamonds;Queen;One pair
Hearts;Two;Diamonds;Ace;Diamonds;Ten;Diamonds;Jack;Clubs;Six;One pair
Hearts;Nine;Hearts;Ace;Clubs;Four;Diamonds;Ace;Spades;Six;Two pairs
Hearts;Queen;Diamonds;Ten;Clubs;King;Diamonds;Queen;Clubs;Four;Two pairs
Hearts;Two;Clubs;Nine;Clubs;Queen;Diamonds;Eight;Spades;Queen;Two pairs
Clubs;King;Hearts;Six;Clubs;Eight;Diamonds;Seven;Spades;Jack;One pair
Diamonds;Jack;Spades;Two;Spades;Four;Diamonds;Queen;Clubs;Six;One pair
Diamonds;Two;Spades;Nine;Diamonds;Four;Diamonds;Five;Spades;Jack;One pair
Clubs;Nine;Clubs;Ace;Hearts;Ten;Spades;King;Spades;Jack;One pair
Hearts;Three;Hearts;Eight;Clubs;Ten;Spades;Three;Diamonds;Jack;Two pairs
Clubs;Queen;Spades;Seven;Diamonds;Jack;Hearts;Ace;Diamonds;Four;One pair
Clubs;Nine;Hearts;Two;Clubs;Jack;Hearts;Jack;Clubs;Four;Two pairs
Hearts;Four;Spades;Five;Clubs;Ace;Diamonds;Three;Hearts;Nine;One pair
Hearts;Queen;Spades;Ace;Hearts;Three;Hearts;Ace;Diamonds;Six;Two pairs
Diamonds;Two;Spades;Two;Diamonds;King;Clubs;Eight;Clubs;Ace;Two pairs
Hearts;Nine;Hearts;Four;Clubs;Queen;Hearts;Ace;Diamonds;Nine;Two pairs
Clubs;Eight;Spades;Queen;Clubs;Jack;Hearts;Six;Diamonds;Queen;Two pairs
Spades;Ten;Spades;Ace;Clubs;Seven;Clubs;Two;Spades;Four;One pair
Diamonds;King;Spades;Four;Hearts;Three;Clubs;Six;Diamonds;Nine;One pair
Diamonds;Queen;Clubs;Seven;Spades;Three;Spades;Jack;Diamonds;Eight;One pair
Clubs;Five;Spades;Three;Hearts;Two;Diamonds;Six;Hearts;Ace;One pair
Clubs;Five;Hearts;Seven;Spades;King;Diamonds;Six;Diamonds;Nine;One pair
Hearts;Two;Diamonds;Six;Hearts;Six;Clubs;Three;Spades;Queen;Two pairs
Clubs;Seven;Clubs;Eight;Hearts;Two;Diamonds;Nine;Diamonds;Jack;One pair
Spades;Six;Diamonds;Eight;Spades;Five;Clubs;Three;Diamonds;Ace;One pair
Diamonds;Five;Hearts;Two;Spades;Three;Spades;Ace;Clubs;Six;One pair
Hearts;Five;Diamonds;Jack;Hearts;Ten;Spades;Two;Clubs;Three;One pair
Spades;Eight;Hearts;Two;Hearts;Five;Spades;Ace;Clubs;Ten;One pair
Clubs;Seven;Clubs;Four;Spades;Five;Spades;King;Clubs;Eight;One pair
Clubs;Seven;Clubs;King;Spades;Jack;Clubs;Five;Clubs;Jack;Two pairs
Diamonds;Ten;Spades;Ace;Diamonds;Jack;Hearts;King;Spades;Three;One pair
Diamonds;King;Hearts;King;Spades;Seven;Diamonds;Four;Spades;Two;Two pairs
Spades;King;Spades;Ten;Spades;Queen;Diamonds;Three;Hearts;Eight;One pair
Hearts;Jack;Diamonds;Jack;Hearts;Ten;Spades;Queen;Clubs;Four;Two pairs
Diamonds;Eight;Clubs;Jack;Diamonds;Nine;Spades;Ten;Hearts;King;One pair
Diamonds;Nine;Diamonds;Eight;Clubs;Four;Diamonds;Five;Clubs;Three;One pair
Spades;Three;Diamonds;Eight;Hearts;Queen;Clubs;Two;Hearts;Nine;One pair
Spades;Two;Spades;Ten;Diamonds;Ten;Clubs;Queen;Spades;Four;Two pairs
Hearts;Ten;Spades;Ace;Hearts;Nine;Diamonds;Six;Diamonds;Three;One pair
Diamonds;Ace;Clubs;Five;Hearts;Ten;Clubs;Seven;Hearts;Two;One pair
Spades;Eight;Hearts;Two;Diamonds;Eight;Hearts;Seven;Diamonds;Ten;Two pairs
Clubs;Three;Spades;Two;Clubs;Eight;Hearts;Jack;Spades;Eight;Two pairs
Hearts;Ten;Clubs;Two;Diamonds;Ten;Diamonds;King;Spades;Queen;Two pairs
Hearts;Four;Diamonds;Six;Diamonds;Seven;Spades;Eight;Hearts;Eight;Two pairs
Spades;Two;Clubs;Seven;Clubs;Ten;Hearts;King;Spades;Six;One pair
Spades;Jack;Clubs;Seven;Hearts;Seven;Hearts;Queen;Diamonds;Six;Two pairs
Spades;King;Diamonds;Three;Spades;Two;Diamonds;Four;Hearts;Four;Two pairs
Clubs;Queen;Spades;Eight;Spades;Six;Hearts;Two;Diamonds;Two;Two pairs
Clubs;Three;Hearts;Queen;Hearts;Five;Spades;Six;Spades;Queen;Two pairs
Spades;Two;Clubs;Ace;Spades;King;Hearts;Seven;Clubs;Eight;One pair
Spades;Seven;Diamonds;Queen;Clubs;Ace;Diamonds;Seven;Hearts;Three;Two pairs
Clubs;Nine;Spades;Nine;Hearts;Three;Clubs;Two;Clubs;Four;Two pairs
Hearts;Eight;Hearts;Ace;Clubs;Jack;Clubs;Three;Hearts;Five;One pair
Clubs;Eight;Spades;King;Hearts;Six;Spades;Seven;Hearts;Two;One pair
Spades;Two;Spades;Ten;Clubs;King;Diamonds;Queen;Spades;Nine;One pair
Spades;Jack;Clubs;Ten;Spades;King;Spades;Queen;Clubs;Jack;Two pairs
Spades;Nine;Diamonds;Six;Spades;Ace;Hearts;Ace;Clubs;Two;Two pairs
Diamonds;Seven;Clubs;Seven;Spades;Six;Hearts;Jack;Hearts;Eight;Two pairs
Hearts;Ten;Hearts;Four;Spades;Ten;Spades;Eight;Clubs;Two;Two pairs
Spades;King;Hearts;Two;Spades;Queen;Hearts;Ten;Hearts;Eight;One pair
Clubs;Jack;Clubs;Five;Hearts;Ace;Hearts;Three;Clubs;Six;One pair
Hearts;Two;Clubs;Jack;Hearts;Nine;Spades;Seven;Clubs;Queen;One pair
Spades;Two;Clubs;Five;Spades;Nine;Clubs;King;Diamonds;Five;Two pairs
Diamonds;Eight;Diamonds;Ten;Hearts;Four;Clubs;Queen;Spades;Three;One pair
Clubs;Jack;Spades;Five;Diamonds;Seven;Spades;Eight;Diamonds;Queen;One pair
Clubs;Five;Diamonds;Eight;Clubs;Ace;Clubs;Seven;Spades;Five;Two pairs
Clubs;Nine;Diamonds;King;Spades;Nine;Hearts;Jack;Spades;Three;Two pairs
Spades;Two;Clubs;Four;Hearts;Five;Hearts;Four;Spades;Jack;Two pairs
Clubs;Six;Spades;Queen;Clubs;Nine;Hearts;Seven;Diamonds;Three;One pair
Hearts;Three;Diamonds;Four;Spades;Five;Diamonds;King;Spades;Queen;One pair
Clubs;Queen;Clubs;Seven;Spades;Ace;Clubs;Nine;Spades;Six;One pair
Spades;Six;Diamonds;Eight;Clubs;Eight;Spades;Jack;Spades;Five;Two pairs
Diamonds;Jack;Spades;Queen;Hearts;King;Diamonds;Six;Hearts;Two;One pair
Clubs;Three;Spades;Nine;Diamonds;Six;Diamonds;Jack;Diamonds;Eight;One pair
Clubs;Five;Spades;Eight;Diamonds;Ace;Hearts;Ten;Spades;Three;One pair
Spades;Two;Diamonds;Nine;Diamonds;Six;Hearts;Ace;Diamonds;King;One pair
Hearts;Three;Diamonds;Nine;Clubs;Ace;Clubs;Nine;Hearts;Queen;Two pairs
Hearts;Two;Spades;Two;Diamonds;Three;Diamonds;Jack;Spades;Three;Three of a kind
Hearts;Eight;Diamonds;Ace;Hearts;Three;Diamonds;Four;Spades;Eight;Two pairs
Spades;Eight;Clubs;Four;Diamonds;Three;Clubs;Two;Hearts;Three;Two pairs
Clubs;Two;Hearts;Queen;Clubs;Queen;Hearts;Six;Spades;Ace;Two pairs
Spades;Jack;Diamonds;Three;Spades;Two;Clubs;Ten;Hearts;Jack;Two pairs
Spades;Queen;Diamonds;Four;Diamonds;King;Diamonds;Jack;Spades;Ace;One pair
Diamonds;Six;Spades;Ace;Diamonds;Three;Clubs;Eight;Diamonds;Ace;Two pairs
Hearts;King;Hearts;Two;Clubs;Nine;Clubs;Queen;Clubs;Four;One pair
Clubs;King;Hearts;Seven;Clubs;Eight;Clubs;Two;Diamonds;Eight;Two pairs
Clubs;Queen;Hearts;Seven;Diamonds;Nine;Hearts;Five;Clubs;Four;One pair
Clubs;Ace;Clubs;Nine;Clubs;Jack;Clubs;Four;Diamonds;Nine;Two pairs
Hearts;Ace;Spades;Two;Hearts;Five;Diamonds;Eight;Diamonds;Queen;One pair
Clubs;Queen;Diamonds;Queen;Clubs;Ace;Hearts;Queen;Hearts;Ten;Straight
Spades;Jack;Hearts;Ace;Diamonds;Nine;Spades;Queen;Hearts;Five;One pair
Hearts;Five;Spades;Ten;Hearts;Seven;Clubs;Queen;Clubs;Eight;One pair
Clubs;Nine;Diamonds;Ten;Diamonds;Jack;Clubs;Eight;Spades;Ten;Two pairs
Spades;Four;Spades;Queen;Spades;Ten;Spades;Two;Diamonds;Nine;One pair
Diamonds;Eight;Diamonds;Seven;Clubs;Jack;Clubs;Seven;Diamonds;Five;Two pairs
Diamonds;Jack;Clubs;Six;Hearts;Seven;Spades;Eight;Diamonds;King;One pair
Spades;Eight;Spades;Ten;Clubs;Three;Diamonds;Eight;Hearts;Seven;Two pairs
Hearts;Eight;Hearts;Four;Diamonds;Nine;Diamonds;Ace;Clubs;Nine;Two pairs
Hearts;Five;Hearts;Queen;Clubs;Queen;Spades;Nine;Clubs;Six;Two pairs
Clubs;Queen;Diamonds;Six;Clubs;Ace;Diamonds;Two;Spades;Six;Two pairs
Hearts;Four;Clubs;Ace;Spades;Jack;Diamonds;Eight;Hearts;Nine;One pair
Hearts;Ace;Diamonds;Nine;Diamonds;Six;Clubs;Jack;Hearts;Five;One pair
Clubs;Ace;Spades;Seven;Spades;Ten;Spades;Queen;Spades;Eight;One pair
Hearts;Eight;Clubs;Two;Clubs;King;Diamonds;Two;Hearts;Three;Two pairs
Hearts;King;Hearts;Jack;Spades;Two;Diamonds;Nine;Diamonds;Queen;One pair
Clubs;Five;Spades;King;Spades;Ten;Clubs;King;Hearts;Four;Two pairs
Spades;Jack;Clubs;Three;Clubs;Two;Clubs;Four;Clubs;Queen;One pair
Clubs;Seven;Spades;King;Spades;Three;Hearts;King;Hearts;Jack;Two pairs
Diamonds;Nine;Hearts;Three;Spades;Nine;Hearts;Five;Spades;Ten;Two pairs
Spades;Five;Diamonds;Ace;Hearts;Queen;Diamonds;Nine;Hearts;Seven;One pair
Spades;Two;Hearts;Jack;Hearts;Ten;Diamonds;Seven;Clubs;Ten;Two pairs
Hearts;Four;Diamonds;King;Spades;Eight;Clubs;Four;Hearts;Ace;Two pairs
Clubs;Seven;Diamonds;Eight;Hearts;Eight;Clubs;Jack;Clubs;Queen;Two pairs
Diamonds;Four;Hearts;Six;Clubs;King;Hearts;King;Spades;Five;Two pairs
Hearts;King;Spades;Nine;Diamonds;Six;Diamonds;Two;Hearts;Seven;One pair
Diamonds;King;Clubs;Three;Clubs;Seven;Clubs;Eight;Diamonds;Eight;Two pairs
Diamonds;Ten;Hearts;Ace;Hearts;King;Diamonds;Two;Spades;Five;One pair
Spades;Queen;Hearts;Queen;Spades;Ten;Diamonds;Eight;Diamonds;Jack;Two pairs
Hearts;Seven;Clubs;Six;Clubs;Jack;Diamonds;Jack;Spades;Two;Two pairs
Hearts;Seven;Clubs;King;Hearts;Nine;Clubs;Four;Hearts;Jack;One pair
Hearts;Two;Spades;Four;Hearts;Ace;Hearts;Seven;Spades;Ace;Two pairs
